"Store_ID","Store_Name","Store_City","Store_Location","Product_ID","Product_Name","Product_Category","Stock_On_Hand","Units_Sold","Revenue","COGS","Gross_Profit","Stock_to_Sales_Ratio"
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,1,Classic Board Game,Building Blocks,24,27,631.5299999999999,320.22,311.30999999999995,0.8889
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,2,Pro Puzzle Pack,Arts & Crafts,32,55,854.7000000000002,459.80000000000007,394.9000000000001,0.5818
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,3,Retro Princess Doll,Building Blocks,25,61,677.1000000000001,483.73000000000013,193.37,0.4098
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,4,Deluxe Builder Set,Baby & Toddler,32,36,595.4399999999999,285.47999999999996,309.96,0.8889
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,5,Smart Art Kit,Plush,12,31,911.7100000000002,666.8099999999998,244.90000000000006,0.3871
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,6,Retro Science Lab,Action Figures,17,29,867.6800000000002,399.03999999999996,468.64000000000004,0.5862
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,7,Pro Explorer Kit #7,Baby & Toddler,28,34,356.6600000000001,236.98,119.68000000000002,0.8235
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,8,Classic Racing Car,Toy Vehicles,23,37,677.4699999999998,449.92,227.54999999999998,0.6216
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,10,Smart Space Ship,Board Games,33,29,145.87,91.35,54.52000000000001,1.1379
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,11,Mini Farm Set,Building Blocks,0,59,487.3399999999999,305.03,182.31000000000006,0.0000
1,Maple Street Toys Louisville 1,"Louisville, KY",Downtown,14,Rocket Princess Doll #14,Building Blocks,30,51,726.2400000000002,406.47000000000014,319.77000000000004,0.5882
